scenario,t,v1,v2,h1_0,h2_0,h3_0,h4_0,h1,h2,h3,h4
218,8.68421052631579,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.245418473538274,15.616594568095048,5.9163013083668226,16.83414222604944
218,9.473684210526315,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.315450298071232,15.651267227580874,5.732021653270412,16.676483883614733
218,10.263157894736842,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.381058271765296,15.68447489007151,5.5511231787714905,16.520023356860552
218,11.052631578947368,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.442322382795078,15.716232788932338,5.373596978319162,16.364757140361473
218,11.842105263157896,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.499320560124861,15.746556008451165,5.199433836224022,16.210681700457556
218,12.631578947368421,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.552130542878556,15.77545960722065,5.028624459239559,16.057793498769563
218,13.421052631578947,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.600826806098903,15.802958386867289,4.861158983210274,15.906088948999697
218,14.210526315789474,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.645484667384205,15.829067212049774,4.697027674379859,15.755564476474234
218,15.0,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.68617599448774,15.853800648050989,4.5362200621263735,15.60621644985663
219,0.0,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252
219,0.7894736842105263,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,2.6177649035382724,14.769462659465832,12.285474539287339,14.620217511341057
219,1.5789473684210527,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,2.8647183798469156,14.856990061096434,12.078575121243293,14.456452948323333
219,2.3684210526315788,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,3.1026799272799144,14.942482023014039,11.874298588755885,14.294024415921603
219,3.1578947368421053,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,3.3321366372386607,15.025960560636708,11.672633583381268,14.132928447534827
219,3.947368421052632,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,3.553515942699904,15.10744730903636,11.473568662568765,13.973161563072734
219,4.7368421052631575,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,3.7671906547540632,15.18696343481913,11.277092326139362,13.814720279329595
219,5.526315789473684,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,3.97349061912225,15.264529786293688,11.083192930640767,13.657601084701447
219,6.315789473684211,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,4.172715374654233,15.340166967065132,10.891858686050558,13.501800436866988
219,7.105263157894737,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,4.365136100703878,15.413895315179927,10.70307764270829,13.347314760404899
219,7.894736842105264,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,4.551000772601625,15.485734913325373,10.516837693486176,13.194140447522033
219,8.68421052631579,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,4.730538467411215,15.555705610610724,10.333126582104581,13.042273859879051
219,9.473684210526315,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,4.9039622169071135,15.623827033588862,10.151931903402662,12.891711328734653
219,10.263157894736842,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,5.071470257100928,15.690118582296696,9.973241093940405,12.742449153093968
219,11.052631578947368,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,5.233246952203451,15.754599429078946,9.797041425949992,12.594483598523043
219,11.842105263157896,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,5.389466161476498,15.81728853049195,9.62332000035353,12.447810895866386
219,12.631578947368421,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,5.540290996921961,15.878204635255633,9.452063756271695,12.302427243148516
219,13.421052631578947,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,5.6858719444302155,15.937366269041675,9.28325946311304,12.158328803931747
219,14.210526315789474,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,5.826360050245129,15.994791826525145,9.116893734738591,12.01551171065176
219,15.0,1.795090055804594,2.172203127754566,2.3612915656961837,14.67988013419342,12.495005614875087,14.78532042262252,5.961882403856298,16.050499400109107,8.952953006165627,11.873972059012235
220,0.0,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692
220,0.7894736842105263,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.07457588634942,2.216709486303136,4.557909370424646,9.117992696977888
220,1.5789473684210527,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.07457774879148,2.4178131439226758,4.49321572266241,8.999195056209633
220,2.3684210526315788,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.073249755916718,2.61370638329521,4.429861417663001,8.881624457287199
220,3.1578947368421053,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.070630110655342,2.8046465852259703,4.367827761434185,8.76527614098529
220,3.947368421052632,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.066756231880126,2.9908612451602363,4.307096196916188,8.650145340830036
220,4.7368421052631575,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.061664786678104,3.1725498807232717,4.247648260521794,8.536227267016582
220,5.526315789473684,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.055391903578158,3.349891235395107,4.189465499378778,8.42351708577564
220,6.315789473684211,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.04797320698211,3.5230472760405793,4.132529467158171,8.312009917391194
220,7.105263157894737,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.039443777873755,3.6921648745101474,4.076821734504822,8.201700833397156
220,7.894736842105264,1.671863377136682,2.6243123266832282,9.073208104670512,2.010114020729122,4.623959032961494,9.23802068174692,9.029838170791402,3.857378587157011,4.0223238979098745,8.092584858715632
